Index,Location,Name,Category,Time,Image,url,Timings
57,T3,Encik Tan,Halal,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,https://maps.google.com/?cid=1102622312988570006,Open 24 hours
58,Jewel,Fei Siong,Chinese,2-3 hours,https://www.capitaland.com/content/dam/capitaland-tenants/imported/en/-/media/cma-malls/websites/logos_560/f/fei%20siong_fei%20siong_c0ce496b-c25d-499f-8fb2-39390873e177_560x462.jpg.transform/cap-midres/image.jpg,"https://www.google.com/maps/place/Fei+Siong/@1.3602694,103.9896604,17z/data=!3m1!5s0x31da3c8963249ae3:0xc478987240ae1e46!4m8!1m2!2m1!1sFei+Siong+Jewel+changi+airport!3m4!1s0x31da3d67ad95cb23:0xde2a612763bff571!8m2!3d1.3603186!4d103.9895373",7 AM - 12 AM
59,T2,Fish & Co,Seafood,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,https://maps.google.com/?cid=9691559058461153602,1030 AM - 11 PM
60,Jewel,Five Spice,Singaporean ,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Five+Spice/@1.3604633,103.9870332,17z/data=!3m1!5s0x31da3c8963249ae3:0xc478987240ae1e46!4m8!1m2!2m1!1sFive+Spice+Jewel+changi+airport!3m4!1s0x31da3d8a561f1cbd:0x3b4cd73201298d34!8m2!3d1.3604633!4d103.9892219",Open 24 hours
61,T4,Food Emporium,Singaporean ,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Food+Emporium+@+Changi+Airport+Terminal+4/@1.3370564,103.9830375,17z/data=!3m1!4b1!4m5!3m4!1s0x31da3cc79bb9a6f5:0x5473c202941cb44a!8m2!3d1.3370564!4d103.9830375",5 AM - 11 PM
62,T1,Food Gallery Menu of Colors,Multiple Cuisines,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,http://www.changiairport.com/content/cag/en/maps.html#20/1.3621366/103.990777/-67,Open 24 hours
63,Jewel,Four Seasons Durian Restaurant,Hotpot,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Four+Seasons+Durians/@1.3597299,103.9806659,15z/data=!3m1!5s0x31da3c8963249ae3:0xc478987240ae1e46!4m8!1m2!2m1!1sFour+Seasons+Durian+Restaurant+Jewel+changi+airport!3m4!1s0x31da3c8bdde7eb17:0x9f3a53dd3e8410a8!8m2!3d1.3597299!4d103.9894206",10 AM - 11 PM
64,Jewel,Fun Toast,Cafe,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Fun+Toast/@1.3604819,103.9898191,17z/data=!3m1!5s0x31da3c8963249ae3:0xc478987258a3f6e7!4m8!1m2!2m1!1sFun+Toast+Restaurant+Jewel+changi+airport!3m4!1s0x31da3c897fe1fa4d:0x6c27ce68add496a7!8m2!3d1.3607436!4d103.9898548",7 30 AM - 10 PM
65,Jewel,Gochi-So Shukodo,Japanese,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Gochi-So+Shokudo/@1.3598881,103.9898425,17z/data=!3m2!4b1!5s0x31da3c8963249ae3:0xc4789872824ef378!4m5!3m4!1s0x31da3d70cfc0cb77:0xb98c8dd878809795!8m2!3d1.3598881!4d103.9898425",10 AM - 10 PM
66,T3,Harry's Bar and Dining,Beer Bar,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Harry's+Novena/@1.3192523,103.8441052,17z/data=!3m2!4b1!5s0x31da19e77dafec31:0xcc5efc5cc353b2d0!4m5!3m4!1s0x31da19e7833e3c9f:0x37b4bdb2c7142584!8m2!3d1.3192523!4d103.8441052",Open 24 hours
