Index,Location,Name,Category,Image,Timings
233,Jewel,Motherhouse,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/laderach_chocolatier_logo.jpg,9 AM - 11 PM
234,Jewel,Muji,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/make_hero_logosize2.png,10 AM - 10 PM
235,T2,Muji to Go,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/mango_brand_logo_size_2.jpg,10 AM - 10 PM
236,Jewel,Myeureka,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/mark_nason_logo.jpg,9 AM - 11 PM
237,Jewel,Naiise Iconic,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/marks_and_spencer_brand_logo_size_2.jpg,10 AM - 10 PM
238,Jewel,New Balance,Footwear,http://www.changiairport.com/content/dam/jca-project/tenant/60/massimo_dutti_brand_logo_size_2.jpg,10 AM - 10 PM
239,Jewel,Nike,Footwear,http://www.changiairport.com/content/dam/jca-project/tenant/60/meyson_jewellery_brand_logo_size_2.jpg,10 AM - 10 PM
240,Jewel,Ning,Shopping,http://www.changiairport.com/content/dam/cag/shop/shop_logos/270x270-logos-mindschamps_preschool.jpg,9 AM - 6 30 PM
241,Jewel,Obermain,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/miss_hosay_logo.jpg,10 AM - 10 PM
242,Jewel,Ogawa A.I.sland,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/mothercare_brand_logo_size_2.png,10 AM - 10 PM
243,Jewel,Ole Ole,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/motherhouse_brand_logo_size_2.jpg,10 AM - 10 PM
244,Jewel,Onitsuka Tiger,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/muji_brand_logo_size_2.jpg,10 AM - 10 PM
245,Jewel,Orient Crown,Shopping,http://www.changiairport.com/content/dam/cag/shop/shop_logos/270x270-logos-muji_to_go.jpg,7 AM - 11 PM
246,Jewel,Osim,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/Eureka_Brand%20Logo%20Size%202.jpg,7 AM - 12 AM
247,Jewel,Owell,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/naiise_brand_logo_size_2.png,10 AM - 10 PM
248,Jewel,Owndays,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/new_balance_brand_logo_size_2.jpg,10 AM - 10 PM
249,Jewel,Oysho,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/nike_brand_logo_size_2.jpg,10 AM - 10 PM
250,T1,Pandora,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/ning_brand_logo_size_2.jpg,10 AM - 10 PM
251,T2,Pandora,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/obermain_brand_logo_size_2.png,9 AM - 11 PM
252,T3,Pandora,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/ogawa_brand_logo_size_2.jpg,10 AM - 10 PM
253,T4,Pandora,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/Ole%20Ole_Brand%20Logo_60x60.jpg,10 AM - 10 PM
254,Jewel,Pandora,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/onitsuka_tiger_brand_logo_size_2.png,9 AM - 11 PM
255,Jewel,Paris Miki,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/orient_crown_brand_logo_size_2.png,9 AM - 11 PM
256,T1,Pazion,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/osim_brand_logo_size_2.jpg,10 AM - 10 PM
257,T4,Pazion,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/owell_brand_logo_size_2.jpg,10 AM - 10 PM
258,Jewel,Pazion,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/owndays_brand_logo_size_2.jpg,10 AM - 10 PM
259,Jewel,Pedro,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/oysho_brand_logo_size_2.jpg,10 AM - 10 PM
260,T3,Peniwern,Shopping,http://www.changiairport.com/content/dam/cag/shop/shop_logos/270x270-logos-pandora.jpg,6 AM - 12 AM
261,Jewel,Petit Bateau,Shopping,http://www.changiairport.com/content/dam/cag/shop/shop_logos/270x270-logos-pandora.jpg,7 AM - 11 PM
